"ID";"Produto";"Descrição";"Preço original (R$)";"Estoque";"Fotos";"Desconto (%)";"Preço final (R$)";"Exige receita"
"485";"Talco Infantil (9)";"100g";"42,74";"94";"";"0";"42,74";"Não"
"484";"Shampoo Infantil (9)";"200ml";"49,72";"196";"https://exemplo.com/fotos/produto9184_1.jpg";"15";"42,26";"Não"
"483";"Protetor Solar Infantil FPS 50 (9)";"120ml";"63,87";"147";"https://exemplo.com/fotos/produto6782_1.jpg";"15";"54,29";"Não"
"482";"Base Líquida FPS 15 (9)";"30ml";"17,72";"143";"https://exemplo.com/fotos/produto2819_1.jpg | https://exemplo.com/fotos/produto7218_2.jpg";"20";"14,18";"Não"
"481";"Creme Antissinais (9)";"30g";"54,80";"254";"";"30";"38,36";"Não"
"480";"Esfoliante Facial (9)";"100g";"40,11";"52";"";"25";"30,08";"Não"
"479";"Óleo Corporal Hidratante (9)";"120ml";"67,80";"243";"";"0";"67,80";"Não"
"478";"Pomada para Assaduras (9)";"45g";"16,93";"103";"https://exemplo.com/fotos/produto9483_1.jpg";"0";"16,93";"Não"
"477";"Colônia Infantil (9)";"100ml";"49,28";"79";"";"10";"44,35";"Não"
"476";"Fralda Íntima Adulto (9)";"pacote 8 unidades";"48,94";"225";"";"0";"48,94";"Não"
"475";"Absorvente Íntimo (9)";"pacote 8 unidades";"70,63";"81";"https://exemplo.com/fotos/produto6701_1.jpg | https://exemplo.com/fotos/produto8208_2.jpg";"0";"70,63";"Não"
"474";"Teste de Gravidez (9)";"unidade";"46,77";"145";"https://exemplo.com/fotos/produto5841_1.jpg";"0";"46,77";"Não"
"473";"Preservativo (9)";"pacote 3 unidades";"18,80";"122";"";"10";"16,92";"Não"
"472";"Protetor Labial FPS 15 (9)";"4g";"51,40";"299";"";"10";"46,26";"Não"
"471";"Repelente de Insetos (9)";"100ml";"7,63";"170";"";"25";"5,72";"Não"
"470";"Lenço Umedecido (9)";"pacote 50 unidades";"30,81";"244";"";"5";"29,27";"Não"
"469";"Fralda Infantil (9)";"pacote 30 unidades";"22,10";"187";"";"25";"16,58";"Não"
"468";"Fralda Geriátrica (9)";"pacote 8 unidades";"56,85";"291";"";"15";"48,32";"Não"
"467";"Soro Fisiológico (9)";"10ml";"67,55";"279";"";"20";"54,04";"Não"
"466";"Algodão Hidrófilo (9)";"50g";"16,17";"150";"https://exemplo.com/fotos/produto5723_1.jpg | https://exemplo.com/fotos/produto5491_2.jpg";"0";"16,17";"Não"
"465";"Gaze Estéril (9)";"pacote 10 unidades";"50,38";"75";"";"25";"37,79";"Não"
"464";"Curativo Adesivo (9)";"caixa 100 unidades";"15,23";"263";"https://exemplo.com/fotos/produto8641_1.jpg";"30";"10,66";"Não"
"463";"Termômetro Digital (9)";"unidade";"29,44";"156";"";"0";"29,44";"Não"
"462";"Luva Descartável (9)";"100 unidades";"15,34";"6";"";"0";"15,34";"Não"
"461";"Máscara Descartável (9)";"50 unidades";"27,59";"139";"https://exemplo.com/fotos/produto2646_1.jpg";"5";"26,21";"Não"
"460";"Álcool Etílico 70% (9)";"1L";"87,42";"232";"https://exemplo.com/fotos/produto1563_1.jpg";"30";"61,19";"Não"
"459";"Álcool em Gel 70% (9)";"500ml";"47,91";"10";"";"15";"40,72";"Não"
"458";"Escova Dental (9)";"unidade";"50,12";"35";"";"0";"50,12";"Não"
"457";"Fio Dental (9)";"50m";"26,19";"216";"https://exemplo.com/fotos/produto6970_1.jpg";"0";"26,19";"Não"
"456";"Enxaguante Bucal (9)";"500ml";"9,55";"264";"";"10";"8,60";"Não"
"455";"Creme Dental (9)";"90g";"65,82";"288";"https://exemplo.com/fotos/produto7563_1.jpg";"25";"49,37";"Não"
"454";"Desodorante Antitranspirante (9)";"150ml";"71,04";"173";"";"10";"63,94";"Não"
"453";"Sabonete em Barra (9)";"90g";"76,38";"269";"";"0";"76,38";"Não"
"452";"Condicionador Hidratante (9)";"350ml";"85,60";"9";"https://exemplo.com/fotos/produto7889_1.jpg";"30";"59,92";"Não"
"451";"Shampoo Anticaspa (9)";"200ml";"78,19";"75";"https://exemplo.com/fotos/produto7498_1.jpg";"0";"78,19";"Não"
"450";"Hidratante Corporal (9)";"400ml";"39,48";"70";"";"0";"39,48";"Não"
"449";"Sabonete Líquido Facial (9)";"150ml";"46,96";"256";"https://exemplo.com/fotos/produto2999_1.jpg";"0";"46,96";"Não"
"448";"Protetor Solar Corporal FPS 30 (9)";"200ml";"65,95";"23";"";"20";"52,76";"Não"
"447";"Protetor Solar Facial FPS 60 (9)";"40g";"64,72";"52";"";"0";"64,72";"Não"
"446";"Pente Fino Anti Piolho (8)";"unidade";"27,22";"295";"";"0";"27,22";"Não"
"445";"Talco Infantil (8)";"100g";"26,29";"15";"";"0";"26,29";"Não"
"444";"Shampoo Infantil (8)";"200ml";"87,23";"114";"https://exemplo.com/fotos/produto2682_1.jpg";"5";"82,87";"Não"
"443";"Protetor Solar Infantil FPS 50 (8)";"120ml";"50,09";"275";"";"0";"50,09";"Não"
"442";"Base Líquida FPS 15 (8)";"30ml";"79,19";"253";"";"0";"79,19";"Não"
"441";"Creme Antissinais (8)";"30g";"65,74";"164";"https://exemplo.com/fotos/produto2002_1.jpg";"5";"62,45";"Não"
"440";"Esfoliante Facial (8)";"100g";"84,23";"264";"";"10";"75,81";"Não"
"439";"Óleo Corporal Hidratante (8)";"120ml";"64,69";"294";"https://exemplo.com/fotos/produto6835_1.jpg";"25";"48,52";"Não"
"438";"Pomada para Assaduras (8)";"45g";"26,11";"288";"https://exemplo.com/fotos/produto1600_1.jpg";"0";"26,11";"Não"
"437";"Colônia Infantil (8)";"100ml";"12,68";"209";"https://exemplo.com/fotos/produto3183_1.jpg";"5";"12,05";"Não"
"436";"Fralda Íntima Adulto (8)";"pacote 8 unidades";"49,07";"177";"";"20";"39,26";"Não"
"435";"Absorvente Íntimo (8)";"pacote 8 unidades";"63,84";"266";"";"0";"63,84";"Não"
"434";"Teste de Gravidez (8)";"unidade";"57,06";"98";"https://exemplo.com/fotos/produto1164_1.jpg";"0";"57,06";"Não"
"433";"Preservativo (8)";"pacote 3 unidades";"80,59";"253";"https://exemplo.com/fotos/produto4375_1.jpg";"0";"80,59";"Não"
"432";"Protetor Labial FPS 15 (8)";"4g";"49,34";"117";"https://exemplo.com/fotos/produto2298_1.jpg";"0";"49,34";"Não"
"431";"Repelente de Insetos (8)";"100ml";"23,55";"292";"";"0";"23,55";"Não"
"430";"Lenço Umedecido (8)";"pacote 50 unidades";"29,34";"184";"";"15";"24,94";"Não"
"429";"Fralda Infantil (8)";"pacote 30 unidades";"33,98";"71";"";"25";"25,49";"Não"
"428";"Fralda Geriátrica (8)";"pacote 8 unidades";"88,18";"8";"";"25";"66,14";"Não"
"427";"Soro Fisiológico (8)";"10ml";"38,16";"212";"https://exemplo.com/fotos/produto5809_1.jpg";"0";"38,16";"Não"
"426";"Algodão Hidrófilo (8)";"50g";"87,51";"221";"https://exemplo.com/fotos/produto4901_1.jpg";"0";"87,51";"Não"
"425";"Gaze Estéril (8)";"pacote 10 unidades";"52,60";"146";"";"0";"52,60";"Não"
"424";"Curativo Adesivo (8)";"caixa 100 unidades";"14,70";"262";"";"0";"14,70";"Não"
"423";"Termômetro Digital (8)";"unidade";"27,16";"55";"";"20";"21,73";"Não"
"422";"Luva Descartável (8)";"100 unidades";"28,04";"151";"";"0";"28,04";"Não"
"421";"Máscara Descartável (8)";"50 unidades";"27,64";"210";"";"0";"27,64";"Não"
"420";"Álcool Etílico 70% (8)";"1L";"67,57";"92";"https://exemplo.com/fotos/produto3370_1.jpg | https://exemplo.com/fotos/produto8192_2.jpg";"0";"67,57";"Não"
"419";"Álcool em Gel 70% (8)";"500ml";"14,83";"187";"";"0";"14,83";"Não"
"418";"Escova Dental (8)";"unidade";"58,41";"231";"https://exemplo.com/fotos/produto4831_1.jpg";"20";"46,73";"Não"
"417";"Fio Dental (8)";"50m";"78,67";"71";"https://exemplo.com/fotos/produto7309_1.jpg";"0";"78,67";"Não"
"416";"Enxaguante Bucal (8)";"500ml";"72,90";"80";"https://exemplo.com/fotos/produto2274_1.jpg";"30";"51,03";"Não"
"415";"Creme Dental (8)";"90g";"73,64";"6";"";"0";"73,64";"Não"
"414";"Desodorante Antitranspirante (8)";"150ml";"36,87";"194";"";"0";"36,87";"Não"
"413";"Sabonete em Barra (8)";"90g";"45,01";"190";"";"0";"45,01";"Não"
"412";"Condicionador Hidratante (8)";"350ml";"32,00";"2";"https://exemplo.com/fotos/produto5895_1.jpg | https://exemplo.com/fotos/produto8229_2.jpg";"0";"32,00";"Não"
"411";"Shampoo Anticaspa (8)";"200ml";"65,32";"247";"";"0";"65,32";"Não"
"410";"Hidratante Corporal (8)";"400ml";"81,89";"24";"";"25";"61,42";"Não"
"409";"Sabonete Líquido Facial (8)";"150ml";"85,05";"180";"";"25";"63,79";"Não"
"408";"Protetor Solar Corporal FPS 30 (8)";"200ml";"77,22";"189";"https://exemplo.com/fotos/produto4632_1.jpg | https://exemplo.com/fotos/produto3820_2.jpg";"0";"77,22";"Não"
"407";"Protetor Solar Facial FPS 60 (8)";"40g";"86,30";"259";"";"20";"69,04";"Não"
"406";"Pente Fino Anti Piolho (7)";"unidade";"26,86";"289";"";"0";"26,86";"Não"
"405";"Talco Infantil (7)";"100g";"46,38";"32";"https://exemplo.com/fotos/produto7510_1.jpg | https://exemplo.com/fotos/produto2964_2.jpg";"0";"46,38";"Não"
"404";"Shampoo Infantil (7)";"200ml";"9,33";"285";"";"20";"7,46";"Não"
"403";"Protetor Solar Infantil FPS 50 (7)";"120ml";"33,80";"92";"";"0";"33,80";"Não"
"402";"Base Líquida FPS 15 (7)";"30ml";"70,22";"67";"";"0";"70,22";"Não"
"401";"Creme Antissinais (7)";"30g";"23,15";"143";"";"20";"18,52";"Não"
"400";"Esfoliante Facial (7)";"100g";"89,18";"289";"";"30";"62,43";"Não"
"399";"Óleo Corporal Hidratante (7)";"120ml";"34,32";"265";"https://exemplo.com/fotos/produto1550_1.jpg";"0";"34,32";"Não"
"398";"Pomada para Assaduras (7)";"45g";"71,92";"79";"";"0";"71,92";"Não"
"397";"Colônia Infantil (7)";"100ml";"36,79";"54";"";"20";"29,43";"Não"
"396";"Fralda Íntima Adulto (7)";"pacote 8 unidades";"35,51";"264";"https://exemplo.com/fotos/produto1730_1.jpg";"20";"28,41";"Não"
"395";"Absorvente Íntimo (7)";"pacote 8 unidades";"20,36";"148";"";"30";"14,25";"Não"
"394";"Teste de Gravidez (7)";"unidade";"55,09";"96";"";"0";"55,09";"Não"
"393";"Preservativo (7)";"pacote 3 unidades";"49,29";"132";"https://exemplo.com/fotos/produto6259_1.jpg | https://exemplo.com/fotos/produto8808_2.jpg";"25";"36,97";"Não"
"392";"Protetor Labial FPS 15 (7)";"4g";"12,45";"181";"https://exemplo.com/fotos/produto7523_1.jpg";"30";"8,72";"Não"
"391";"Repelente de Insetos (7)";"100ml";"83,71";"300";"https://exemplo.com/fotos/produto8532_1.jpg";"25";"62,78";"Não"
"390";"Lenço Umedecido (7)";"pacote 50 unidades";"56,59";"202";"";"0";"56,59";"Não"
"389";"Fralda Infantil (7)";"pacote 30 unidades";"50,90";"248";"https://exemplo.com/fotos/produto4834_1.jpg";"5";"48,36";"Não"
"388";"Fralda Geriátrica (7)";"pacote 8 unidades";"63,19";"255";"";"0";"63,19";"Não"
"387";"Soro Fisiológico (7)";"10ml";"74,00";"292";"";"25";"55,50";"Não"
"386";"Algodão Hidrófilo (7)";"50g";"18,37";"21";"";"0";"18,37";"Não"
"385";"Gaze Estéril (7)";"pacote 10 unidades";"63,53";"164";"";"15";"54,00";"Não"
"384";"Curativo Adesivo (7)";"caixa 100 unidades";"37,02";"192";"https://exemplo.com/fotos/produto8393_1.jpg";"5";"35,17";"Não"
"383";"Termômetro Digital (7)";"unidade";"75,77";"299";"";"0";"75,77";"Não"
"382";"Luva Descartável (7)";"100 unidades";"10,15";"170";"https://exemplo.com/fotos/produto1253_1.jpg | https://exemplo.com/fotos/produto3475_2.jpg";"30";"7,11";"Não"
"381";"Máscara Descartável (7)";"50 unidades";"85,32";"290";"";"5";"81,05";"Não"
"380";"Álcool Etílico 70% (7)";"1L";"58,53";"213";"";"20";"46,82";"Não"
"379";"Álcool em Gel 70% (7)";"500ml";"87,14";"59";"";"0";"87,14";"Não"
"378";"Escova Dental (7)";"unidade";"36,24";"294";"https://exemplo.com/fotos/produto3727_1.jpg";"0";"36,24";"Não"
"377";"Fio Dental (7)";"50m";"67,00";"84";"https://exemplo.com/fotos/produto1979_1.jpg";"10";"60,30";"Não"
"376";"Enxaguante Bucal (7)";"500ml";"80,08";"40";"";"5";"76,08";"Não"
"375";"Creme Dental (7)";"90g";"82,65";"26";"https://exemplo.com/fotos/produto1992_1.jpg";"0";"82,65";"Não"
"374";"Desodorante Antitranspirante (7)";"150ml";"58,43";"255";"";"5";"55,51";"Não"
"373";"Sabonete em Barra (7)";"90g";"83,44";"187";"https://exemplo.com/fotos/produto3372_1.jpg | https://exemplo.com/fotos/produto2381_2.jpg";"5";"79,27";"Não"
"372";"Condicionador Hidratante (7)";"350ml";"66,14";"124";"";"0";"66,14";"Não"
"371";"Shampoo Anticaspa (7)";"200ml";"78,91";"66";"";"5";"74,96";"Não"
"370";"Hidratante Corporal (7)";"400ml";"41,29";"4";"https://exemplo.com/fotos/produto2444_1.jpg";"0";"41,29";"Não"
"369";"Sabonete Líquido Facial (7)";"150ml";"51,65";"42";"https://exemplo.com/fotos/produto3486_1.jpg";"0";"51,65";"Não"
"368";"Protetor Solar Corporal FPS 30 (7)";"200ml";"10,71";"198";"https://exemplo.com/fotos/produto3544_1.jpg | https://exemplo.com/fotos/produto8789_2.jpg";"15";"9,10";"Não"
"367";"Protetor Solar Facial FPS 60 (7)";"40g";"8,35";"60";"https://exemplo.com/fotos/produto7629_1.jpg";"20";"6,68";"Não"
"366";"Pente Fino Anti Piolho (6)";"unidade";"84,38";"27";"";"25";"63,29";"Não"
"365";"Talco Infantil (6)";"100g";"7,91";"10";"";"30";"5,54";"Não"
"364";"Shampoo Infantil (6)";"200ml";"71,86";"287";"https://exemplo.com/fotos/produto4027_1.jpg";"15";"61,08";"Não"
"363";"Protetor Solar Infantil FPS 50 (6)";"120ml";"78,88";"215";"https://exemplo.com/fotos/produto1219_1.jpg | https://exemplo.com/fotos/produto7043_2.jpg";"0";"78,88";"Não"
"362";"Base Líquida FPS 15 (6)";"30ml";"61,70";"234";"https://exemplo.com/fotos/produto2660_1.jpg";"0";"61,70";"Não"
"361";"Creme Antissinais (6)";"30g";"82,33";"192";"https://exemplo.com/fotos/produto2359_1.jpg | https://exemplo.com/fotos/produto4481_2.jpg";"0";"82,33";"Não"
"360";"Esfoliante Facial (6)";"100g";"5,53";"97";"https://exemplo.com/fotos/produto1985_1.jpg";"25";"4,15";"Não"
"359";"Óleo Corporal Hidratante (6)";"120ml";"80,28";"279";"https://exemplo.com/fotos/produto5921_1.jpg";"0";"80,28";"Não"
"358";"Pomada para Assaduras (6)";"45g";"71,66";"20";"";"25";"53,75";"Não"
"357";"Colônia Infantil (6)";"100ml";"21,35";"153";"";"0";"21,35";"Não"
"356";"Fralda Íntima Adulto (6)";"pacote 8 unidades";"79,20";"176";"https://exemplo.com/fotos/produto9064_1.jpg | https://exemplo.com/fotos/produto2932_2.jpg";"10";"71,28";"Não"
"355";"Absorvente Íntimo (6)";"pacote 8 unidades";"75,36";"206";"";"5";"71,59";"Não"
"354";"Teste de Gravidez (6)";"unidade";"34,07";"128";"https://exemplo.com/fotos/produto5798_1.jpg";"10";"30,66";"Não"
"353";"Preservativo (6)";"pacote 3 unidades";"34,01";"269";"https://exemplo.com/fotos/produto5655_1.jpg";"15";"28,91";"Não"
"352";"Protetor Labial FPS 15 (6)";"4g";"58,15";"173";"";"10";"52,34";"Não"
"351";"Repelente de Insetos (6)";"100ml";"46,20";"73";"";"15";"39,27";"Não"
"350";"Lenço Umedecido (6)";"pacote 50 unidades";"8,90";"169";"https://exemplo.com/fotos/produto9366_1.jpg";"20";"7,12";"Não"
"349";"Fralda Infantil (6)";"pacote 30 unidades";"20,34";"184";"https://exemplo.com/fotos/produto1336_1.jpg";"30";"14,24";"Não"
"348";"Fralda Geriátrica (6)";"pacote 8 unidades";"76,45";"191";"";"0";"76,45";"Não"
"347";"Soro Fisiológico (6)";"10ml";"44,78";"288";"";"5";"42,54";"Não"
"346";"Algodão Hidrófilo (6)";"50g";"50,86";"3";"";"10";"45,77";"Não"
"345";"Gaze Estéril (6)";"pacote 10 unidades";"46,17";"73";"https://exemplo.com/fotos/produto9162_1.jpg";"0";"46,17";"Não"
"344";"Curativo Adesivo (6)";"caixa 100 unidades";"75,30";"242";"";"0";"75,30";"Não"
"343";"Termômetro Digital (6)";"unidade";"62,05";"59";"https://exemplo.com/fotos/produto7865_1.jpg";"0";"62,05";"Não"
"342";"Luva Descartável (6)";"100 unidades";"21,78";"109";"";"20";"17,42";"Não"
"341";"Máscara Descartável (6)";"50 unidades";"72,29";"85";"https://exemplo.com/fotos/produto2481_1.jpg | https://exemplo.com/fotos/produto9986_2.jpg";"5";"68,68";"Não"
"340";"Álcool Etílico 70% (6)";"1L";"34,45";"78";"";"15";"29,28";"Não"
"339";"Álcool em Gel 70% (6)";"500ml";"26,25";"51";"https://exemplo.com/fotos/produto4041_1.jpg";"20";"21,00";"Não"
"338";"Escova Dental (6)";"unidade";"58,82";"7";"https://exemplo.com/fotos/produto2179_1.jpg";"5";"55,88";"Não"
"337";"Fio Dental (6)";"50m";"81,99";"71";"";"10";"73,79";"Não"
"336";"Enxaguante Bucal (6)";"500ml";"77,63";"29";"";"30";"54,34";"Não"
"335";"Creme Dental (6)";"90g";"41,42";"43";"https://exemplo.com/fotos/produto3502_1.jpg";"5";"39,35";"Não"
"334";"Desodorante Antitranspirante (6)";"150ml";"35,43";"154";"";"20";"28,34";"Não"
"333";"Sabonete em Barra (6)";"90g";"63,43";"218";"https://exemplo.com/fotos/produto1044_1.jpg";"5";"60,26";"Não"
"332";"Condicionador Hidratante (6)";"350ml";"71,61";"117";"";"15";"60,87";"Não"
"331";"Shampoo Anticaspa (6)";"200ml";"44,79";"150";"https://exemplo.com/fotos/produto3050_1.jpg | https://exemplo.com/fotos/produto8690_2.jpg";"10";"40,31";"Não"
"330";"Hidratante Corporal (6)";"400ml";"59,59";"115";"https://exemplo.com/fotos/produto6785_1.jpg";"15";"50,65";"Não"
"329";"Sabonete Líquido Facial (6)";"150ml";"23,02";"66";"https://exemplo.com/fotos/produto4164_1.jpg";"20";"18,42";"Não"
"328";"Protetor Solar Corporal FPS 30 (6)";"200ml";"24,08";"205";"https://exemplo.com/fotos/produto4586_1.jpg | https://exemplo.com/fotos/produto7421_2.jpg";"20";"19,26";"Não"
"327";"Protetor Solar Facial FPS 60 (6)";"40g";"40,58";"215";"https://exemplo.com/fotos/produto6769_1.jpg | https://exemplo.com/fotos/produto5344_2.jpg";"0";"40,58";"Não"
"326";"Pente Fino Anti Piolho (5)";"unidade";"28,32";"204";"";"0";"28,32";"Não"
"325";"Talco Infantil (5)";"100g";"38,36";"62";"https://exemplo.com/fotos/produto6824_1.jpg | https://exemplo.com/fotos/produto1927_2.jpg";"5";"36,44";"Não"
"324";"Shampoo Infantil (5)";"200ml";"49,34";"210";"https://exemplo.com/fotos/produto4442_1.jpg";"0";"49,34";"Não"
"323";"Protetor Solar Infantil FPS 50 (5)";"120ml";"65,97";"262";"";"10";"59,37";"Não"
"322";"Base Líquida FPS 15 (5)";"30ml";"49,13";"51";"https://exemplo.com/fotos/produto9864_1.jpg";"0";"49,13";"Não"
"321";"Creme Antissinais (5)";"30g";"8,24";"278";"";"0";"8,24";"Não"
"320";"Esfoliante Facial (5)";"100g";"81,03";"167";"https://exemplo.com/fotos/produto9025_1.jpg";"0";"81,03";"Não"
"319";"Óleo Corporal Hidratante (5)";"120ml";"57,83";"209";"";"0";"57,83";"Não"
"318";"Pomada para Assaduras (5)";"45g";"26,26";"216";"";"0";"26,26";"Não"
"317";"Colônia Infantil (5)";"100ml";"27,08";"50";"https://exemplo.com/fotos/produto7555_1.jpg";"0";"27,08";"Não"
"316";"Fralda Íntima Adulto (5)";"pacote 8 unidades";"77,46";"92";"https://exemplo.com/fotos/produto8086_1.jpg";"10";"69,71";"Não"
"315";"Absorvente Íntimo (5)";"pacote 8 unidades";"82,18";"220";"https://exemplo.com/fotos/produto7900_1.jpg | https://exemplo.com/fotos/produto4744_2.jpg";"30";"57,53";"Não"
"314";"Teste de Gravidez (5)";"unidade";"17,05";"207";"";"0";"17,05";"Não"
"313";"Preservativo (5)";"pacote 3 unidades";"77,62";"223";"https://exemplo.com/fotos/produto5853_1.jpg | https://exemplo.com/fotos/produto8590_2.jpg";"0";"77,62";"Não"
"312";"Protetor Labial FPS 15 (5)";"4g";"80,25";"237";"";"15";"68,21";"Não"
"311";"Repelente de Insetos (5)";"100ml";"28,27";"55";"https://exemplo.com/fotos/produto5600_1.jpg";"0";"28,27";"Não"
"310";"Lenço Umedecido (5)";"pacote 50 unidades";"21,61";"77";"https://exemplo.com/fotos/produto5872_1.jpg";"15";"18,37";"Não"
"309";"Fralda Infantil (5)";"pacote 30 unidades";"26,99";"52";"";"0";"26,99";"Não"
"308";"Fralda Geriátrica (5)";"pacote 8 unidades";"49,39";"82";"";"0";"49,39";"Não"
"307";"Soro Fisiológico (5)";"10ml";"30,63";"79";"https://exemplo.com/fotos/produto6350_1.jpg";"30";"21,44";"Não"
"306";"Algodão Hidrófilo (5)";"50g";"59,63";"121";"";"5";"56,65";"Não"
"305";"Gaze Estéril (5)";"pacote 10 unidades";"42,30";"131";"https://exemplo.com/fotos/produto6473_1.jpg";"20";"33,84";"Não"
"304";"Curativo Adesivo (5)";"caixa 100 unidades";"49,35";"230";"https://exemplo.com/fotos/produto6297_1.jpg | https://exemplo.com/fotos/produto3777_2.jpg";"20";"39,48";"Não"
"303";"Termômetro Digital (5)";"unidade";"50,18";"17";"";"10";"45,16";"Não"
"302";"Luva Descartável (5)";"100 unidades";"47,60";"194";"https://exemplo.com/fotos/produto4826_1.jpg | https://exemplo.com/fotos/produto8551_2.jpg";"0";"47,60";"Não"
"301";"Máscara Descartável (5)";"50 unidades";"36,62";"155";"";"25";"27,47";"Não"
"300";"Álcool Etílico 70% (5)";"1L";"83,92";"44";"";"0";"83,92";"Não"
"299";"Álcool em Gel 70% (5)";"500ml";"71,89";"167";"";"15";"61,11";"Não"
"298";"Escova Dental (5)";"unidade";"84,79";"41";"";"25";"63,59";"Não"
"297";"Fio Dental (5)";"50m";"74,30";"118";"";"0";"74,30";"Não"
"296";"Enxaguante Bucal (5)";"500ml";"87,21";"177";"https://exemplo.com/fotos/produto5269_1.jpg | https://exemplo.com/fotos/produto3603_2.jpg";"5";"82,85";"Não"
"295";"Creme Dental (5)";"90g";"5,37";"251";"";"0";"5,37";"Não"
"294";"Desodorante Antitranspirante (5)";"150ml";"42,06";"268";"";"0";"42,06";"Não"
"293";"Sabonete em Barra (5)";"90g";"50,72";"110";"https://exemplo.com/fotos/produto5704_1.jpg";"0";"50,72";"Não"
"292";"Condicionador Hidratante (5)";"350ml";"70,71";"177";"";"0";"70,71";"Não"
"291";"Shampoo Anticaspa (5)";"200ml";"57,55";"15";"https://exemplo.com/fotos/produto8150_1.jpg";"25";"43,16";"Não"
"290";"Hidratante Corporal (5)";"400ml";"9,11";"188";"https://exemplo.com/fotos/produto9253_1.jpg | https://exemplo.com/fotos/produto8800_2.jpg";"5";"8,65";"Não"
"289";"Sabonete Líquido Facial (5)";"150ml";"41,02";"10";"";"5";"38,97";"Não"
"288";"Protetor Solar Corporal FPS 30 (5)";"200ml";"16,28";"104";"";"10";"14,65";"Não"
"287";"Protetor Solar Facial FPS 60 (5)";"40g";"85,69";"44";"https://exemplo.com/fotos/produto5708_1.jpg | https://exemplo.com/fotos/produto8817_2.jpg";"0";"85,69";"Não"
"286";"Pente Fino Anti Piolho (4)";"unidade";"25,96";"104";"";"0";"25,96";"Não"
"285";"Talco Infantil (4)";"100g";"69,75";"102";"https://exemplo.com/fotos/produto2080_1.jpg | https://exemplo.com/fotos/produto7288_2.jpg";"0";"69,75";"Não"
"284";"Shampoo Infantil (4)";"200ml";"64,25";"23";"";"30";"44,98";"Não"
"283";"Protetor Solar Infantil FPS 50 (4)";"120ml";"64,56";"15";"";"0";"64,56";"Não"
"282";"Base Líquida FPS 15 (4)";"30ml";"14,07";"82";"";"0";"14,07";"Não"
"281";"Creme Antissinais (4)";"30g";"82,42";"74";"";"0";"82,42";"Não"
"280";"Esfoliante Facial (4)";"100g";"53,48";"157";"https://exemplo.com/fotos/produto2274_1.jpg";"30";"37,44";"Não"
"279";"Óleo Corporal Hidratante (4)";"120ml";"64,30";"13";"";"0";"64,30";"Não"
